hour,day_of_week,is_weekend,road_type,weather,temperature,precipitation,vehicle_count,free_flow_speed,avg_speed,delay_min,risk_score,congestion_level
2,6,1,Highway,Clear,22.2,0.0,387,93.5,89.8,0.8,18,LOW
4,5,1,Arterial,Clear,35.8,0.0,523,66.6,55.4,1.3,32,LOW
18,3,0,Urban,Storm,38.0,4.62,888,36.6,9.4,33.2,72,HIGH
6,1,0,Highway,Storm,35.1,14.25,526,95.8,57.9,6.3,58,MEDIUM
20,4,0,Highway,Clear,35.5,0.0,2584,93.3,11.4,16.3,96,HIGH
8,3,0,Highway,Clear,39.6,0.0,2000,87.0,8.2,15.4,90,HIGH
6,3,0,Arterial,Fog,15.4,0.2,262,59.5,44.3,4.5,41,MEDIUM
17,0,0,Highway,Clear,19.4,0.0,2323,89.0,10.6,23.9,86,HIGH
3,3,0,Urban,Clear,23.1,0.0,195,38.9,37.1,1.3,12,LOW
13,0,0,Arterial,Rain,28.7,0.44,820,54.6,29.3,6.8,65,MEDIUM
17,4,0,Urban,Clear,28.7,0.0,1018,43.5,8.0,20.4,79,HIGH
8,6,1,Urban,Clear,28.8,0.0,340,37.2,35.5,1.4,26,LOW
20,5,1,Arterial,Rain,33.8,5.05,341,55.8,45.2,2.1,29,LOW
1,5,1,Arterial,Clear,14.6,0.0,497,64.8,53.9,1.9,37,LOW
19,4,0,Highway,Clear,27.0,0.0,1784,83.0,23.7,23.2,82,HIGH
14,4,0,Arterial,Clear,29.9,0.0,655,58.8,43.9,9.6,63,MEDIUM
6,2,0,Urban,Clear,25.7,0.0,234,37.0,35.1,1.6,29,LOW
11,6,1,Highway,Clear,29.3,0.0,428,98.2,93.4,1.1,12,LOW
7,4,0,Urban,Clear,35.2,0.0,248,43.4,38.3,2.0,29,LOW
14,3,0,Highway,Clear,28.4,0.0,1115,85.9,62.9,5.9,55,MEDIUM
2,5,1,Urban,Fog,43.0,0.08,364,37.0,25.5,9.8,56,MEDIUM
13,1,0,Urban,Clear,34.7,0.0,427,42.3,30.4,8.8,60,MEDIUM
16,5,1,Arterial,Rain,29.9,1.02,819,61.7,36.5,5.5,41,MEDIUM
3,0,0,Arterial,Rain,31.5,5.35,379,58.6,48.0,0.9,13,LOW
17,5,1,Arterial,Clear,33.2,0.0,695,58.2,37.9,7.6,45,MEDIUM
7,2,0,Urban,Clear,39.8,0.0,214,39.3,37.6,0.3,33,LOW
3,6,1,Urban,Rain,36.2,4.74,214,42.7,35.2,0.0,15,LOW
1,4,0,Urban,Clear,31.6,0.0,197,44.7,39.7,2.0,34,LOW
5,6,1,Arterial,Clear,22.9,0.0,257,67.3,63.8,1.4,27,LOW
21,4,0,Arterial,Clear,30.9,0.0,297,57.1,55.6,1.6,32,LOW
9,5,1,Urban,Rain,32.1,1.03,309,40.2,32.8,1.6,34,LOW
3,1,0,Arterial,Clear,33.4,0.0,505,65.4,54.5,0.3,32,LOW
21,1,0,Urban,Clear,22.9,0.0,155,37.4,36.2,1.9,8,LOW
17,2,0,Arterial,Clear,33.2,0.0,1053,57.3,23.1,16.9,94,HIGH
11,0,0,Highway,Fog,33.6,0.47,1569,94.0,29.1,34.0,92,HIGH
1,5,1,Arterial,Clear,19.5,0.0,431,58.1,51.6,2.2,25,LOW
9,4,0,Arterial,Clear,19.6,0.0,1346,54.1,9.8,15.9,88,HIGH
3,5,1,Highway,Clear,35.8,0.0,368,85.9,83.2,1.2,20,LOW
13,2,0,Highway,Clear,22.0,0.0,1225,95.0,58.4,9.5,50,MEDIUM
15,3,0,Arterial,Clear,38.8,0.0,1058,61.0,25.2,24.5,78,HIGH
14,3,0,Highway,Clear,26.0,0.0,866,82.2,67.2,0.1,16,LOW
7,2,0,Highway,Clear,30.7,0.0,381,87.0,80.5,2.8,10,LOW
13,4,0,Arterial,Fog,30.4,0.11,1145,67.3,14.4,33.4,87,HIGH
22,6,1,Urban,Clear,23.0,0.0,135,39.8,37.3,1.2,13,LOW
7,2,0,Arterial,Clear,37.7,0.0,362,59.0,54.8,1.1,30,LOW
20,4,0,Urban,Rain,26.1,17.69,1200,40.0,8.0,19.0,89,HIGH
15,1,0,Arterial,Clear,28.4,0.0,855,60.8,38.9,9.7,62,MEDIUM
12,2,0,Highway,Clear,14.1,0.0,1274,88.0,48.6,5.0,61,MEDIUM
17,4,0,Arterial,Rain,18.6,4.69,1212,65.4,11.2,21.0,83,HIGH
14,2,0,Arterial,Clear,35.9,0.0,737,58.1,37.8,9.2,50,MEDIUM
20,2,0,Arterial,Clear,28.0,0.0,1597,64.0,9.6,34.0,72,HIGH
23,6,1,Highway,Clear,23.9,0.0,369,99.1,90.9,1.5,33,LOW
12,6,1,Arterial,Clear,24.0,0.0,733,61.5,41.3,5.9,56,MEDIUM
8,4,0,Highway,Clear,31.8,0.0,2577,84.8,11.6,20.1,72,HIGH
14,4,0,Arterial,Rain,36.8,1.74,622,60.8,42.8,5.9,62,MEDIUM
12,0,0,Highway,Clear,24.1,0.0,885,87.2,70.7,1.3,22,LOW
0,2,0,Arterial,Clear,35.7,0.0,278,63.6,61.0,0.5,11,LOW
6,3,0,Arterial,Clear,26.9,0.0,380,60.8,55.4,0.0,12,LOW
8,2,0,Highway,Fog,31.5,0.07,2239,89.4,8.0,27.8,82,HIGH
23,2,0,Arterial,Storm,15.6,5.86,317,56.0,31.3,6.7,42,MEDIUM
0,4,0,Arterial,Clear,16.8,0.0,325,52.6,49.2,0.0,14,LOW
11,2,0,Urban,Rain,33.7,0.75,530,37.6,19.2,5.6,40,MEDIUM
7,5,1,Urban,Rain,29.9,3.4,152,42.0,34.7,1.5,25,LOW
23,2,0,Arterial,Clear,30.8,0.0,249,64.7,62.0,2.4,11,LOW
10,5,1,Arterial,Clear,20.4,0.0,278,58.8,51.4,0.5,20,LOW
18,6,1,Highway,Clear,25.0,0.0,1922,85.3,11.8,22.6,77,HIGH
16,3,0,Highway,Rain,16.3,1.54,971,90.9,58.3,9.4,45,MEDIUM
7,4,0,Highway,Rain,22.1,1.22,736,93.4,74.2,1.7,31,LOW
2,2,0,Arterial,Clear,27.8,0.0,372,63.1,54.9,0.1,24,LOW
2,5,1,Highway,Clear,30.3,0.0,629,91.0,79.4,0.4,16,LOW
0,5,1,Highway,Clear,23.0,0.0,371,100.4,98.1,3.7,33,LOW
4,6,1,Arterial,Rain,31.9,4.95,349,65.1,52.5,0.0,24,LOW
9,5,1,Arterial,Rain,27.7,0.92,528,55.1,39.8,4.4,41,MEDIUM
6,1,0,Arterial,Clear,26.4,0.0,204,54.1,48.6,1.4,23,LOW
8,0,0,Highway,Clear,28.6,0.0,1410,84.3,43.5,7.9,62,MEDIUM
6,3,0,Arterial,Clear,42.7,0.0,468,64.7,58.2,2.5,27,LOW
8,6,1,Arterial,Rain,26.9,3.09,447,53.2,41.8,0.9,14,LOW
7,6,1,Arterial,Clear,34.7,0.0,464,61.8,53.6,0.4,28,LOW
11,2,0,Highway,Clear,31.8,0.0,1209,89.1,57.2,4.6,67,MEDIUM
1,1,0,Arterial,Rain,26.3,0.76,423,55.0,43.7,0.5,18,LOW
0,2,0,Urban,Clear,17.1,0.0,167,40.7,40.7,1.6,34,LOW
15,2,0,Highway,Rain,23.6,4.39,1140,89.1,56.3,6.5,48,MEDIUM
22,4,0,Urban,Clear,28.5,0.0,284,42.4,36.1,0.6,26,LOW
22,4,0,Arterial,Clear,27.3,0.0,425,53.5,45.6,0.0,17,LOW
23,4,0,Highway,Fog,37.1,0.31,351,85.5,65.3,0.6,17,LOW
4,1,0,Arterial,Clear,22.9,0.0,373,56.5,48.3,1.6,13,LOW
2,2,0,Highway,Clear,27.0,0.0,358,93.3,93.3,1.0,23,LOW
11,0,0,Highway,Clear,31.8,0.0,1408,88.8,45.3,7.5,47,MEDIUM
7,3,0,Arterial,Clear,26.1,0.0,257,64.7,64.5,1.8,9,LOW
21,4,0,Urban,Clear,34.8,0.0,245,38.8,33.3,0.2,29,LOW
2,4,0,Urban,Rain,20.4,5.6,196,40.7,31.0,0.8,37,LOW
0,6,1,Arterial,Fog,17.4,0.03,255,65.9,47.6,5.4,61,MEDIUM
2,2,0,Highway,Rain,26.0,0.83,488,81.1,64.5,1.8,10,LOW
4,2,0,Arterial,Clear,27.5,0.0,406,60.1,53.3,0.0,21,LOW
14,1,0,Arterial,Rain,29.5,0.59,798,59.9,35.2,8.5,44,MEDIUM
13,1,0,Urban,Rain,29.0,0.74,635,37.6,14.5,27.7,81,HIGH
2,4,0,Urban,Clear,25.1,0.0,264,39.5,36.3,0.5,11,LOW
0,2,0,Urban,Clear,17.4,0.0,333,40.9,31.2,1.9,14,LOW
4,0,0,Arterial,Clear,27.2,0.0,438,57.0,50.1,1.8,19,LOW
22,3,0,Arterial,Rain,20.7,0.38,438,60.2,45.2,1.3,24,LOW
13,2,0,Highway,Clear,28.5,0.0,1106,84.9,54.6,5.9,54,MEDIUM
6,6,1,Urban,Rain,20.2,2.89,186,39.4,33.0,0.1,17,LOW
8,2,0,Highway,Clear,30.7,0.0,2193,94.6,15.9,17.3,79,HIGH
14,5,1,Highway,Storm,39.7,11.0,1332,94.9,35.4,29.7,89,HIGH
14,1,0,Highway,Clear,22.9,0.0,1098,95.9,66.3,5.3,42,MEDIUM
9,6,1,Urban,Clear,19.1,0.0,334,39.7,34.1,1.3,18,LOW
12,3,0,Arterial,Clear,36.0,0.0,942,58.7,29.2,22.1,88,HIGH
18,4,0,Arterial,Clear,40.4,0.0,1605,63.0,9.4,29.3,70,HIGH
6,6,1,Urban,Rain,19.3,6.49,234,43.5,38.5,0.1,33,LOW
16,2,0,Urban,Storm,27.4,7.41,430,40.3,19.7,31.1,85,HIGH
19,4,0,Highway,Clear,31.4,0.0,2700,97.6,15.0,32.0,73,HIGH
3,2,0,Highway,Clear,26.2,0.0,551,93.6,86.2,1.6,22,LOW
4,4,0,Urban,Clear,15.7,0.0,185,38.3,35.9,1.6,36,LOW
22,3,0,Urban,Clear,18.4,0.0,292,38.7,34.6,2.0,11,LOW
6,1,0,Arterial,Clear,19.1,0.0,272,59.8,56.8,1.6,9,LOW
12,3,0,Arterial,Rain,20.7,2.66,997,53.7,24.0,28.5,78,HIGH
14,5,1,Highway,Fog,28.6,0.5,1707,87.2,18.2,33.6,92,HIGH
10,0,0,Urban,Clear,35.7,0.0,1169,43.4,8.0,28.3,79,HIGH
3,1,0,Arterial,Clear,18.5,0.0,348,65.4,57.9,1.5,19,LOW
12,3,0,Arterial,Clear,22.5,0.0,553,61.1,50.5,0.9,28,LOW
6,5,1,Highway,Clear,20.2,0.0,386,92.3,84.8,2.1,36,LOW
18,0,0,Urban,Clear,30.0,0.0,947,39.1,8.0,15.7,91,HIGH
21,5,1,Arterial,Clear,22.2,0.0,371,57.4,53.2,1.8,19,LOW
1,2,0,Highway,Clear,20.9,0.0,453,92.9,84.3,1.9,18,LOW
9,2,0,Arterial,Clear,16.8,0.0,1314,58.2,8.9,31.6,74,HIGH
12,4,0,Arterial,Clear,37.5,0.0,886,66.8,34.6,5.4,44,MEDIUM
20,1,0,Arterial,Clear,43.3,0.0,1493,61.6,8.0,30.9,85,HIGH
5,2,0,Arterial,Clear,28.6,0.0,345,61.8,56.7,2.7,34,LOW
11,6,1,Arterial,Fog,38.4,0.27,474,55.8,38.6,4.4,46,MEDIUM
11,5,1,Urban,Rain,24.0,2.98,198,33.0,29.8,1.7,30,LOW
19,1,0,Highway,Rain,28.0,19.25,1648,92.2,30.4,26.1,75,HIGH
10,6,1,Highway,Clear,32.6,0.0,265,87.5,85.9,0.5,14,LOW
22,2,0,Highway,Clear,22.7,0.0,338,94.9,94.3,0.4,13,LOW
6,4,0,Arterial,Clear,26.9,0.0,413,56.3,51.4,0.9,33,LOW
0,3,0,Arterial,Clear,26.0,0.0,360,57.9,51.3,1.7,23,LOW
0,4,0,Urban,Rain,31.1,17.98,297,43.4,35.8,0.9,10,LOW
19,6,1,Arterial,Clear,28.4,0.0,683,61.7,46.4,2.7,27,LOW
12,0,0,Arterial,Clear,22.9,0.0,906,56.0,30.6,8.9,61,MEDIUM
8,2,0,Urban,Clear,25.9,0.0,765,40.1,10.9,22.9,80,HIGH
2,6,1,Highway,Clear,35.8,0.0,738,99.5,83.2,1.1,14,LOW
6,0,0,Urban,Storm,31.8,7.52,135,40.4,23.9,4.6,41,MEDIUM
5,0,0,Arterial,Clear,31.2,0.0,466,59.4,48.4,0.2,22,LOW
7,5,1,Arterial,Clear,43.8,0.0,403,63.6,57.9,0.8,20,LOW
8,1,0,Arterial,Clear,20.1,0.0,1718,61.4,9.2,17.8,96,HIGH
4,5,1,Arterial,Storm,33.0,12.08,259,65.8,42.0,9.5,45,MEDIUM
0,2,0,Highway,Clear,28.4,0.0,581,93.8,86.6,1.4,13,LOW
18,0,0,Arterial,Clear,30.4,0.0,1465,63.6,10.7,30.3,91,HIGH
9,6,1,Arterial,Clear,29.3,0.0,265,66.0,61.0,0.2,34,LOW
11,3,0,Urban,Rain,23.1,2.29,480,39.1,24.3,7.8,63,MEDIUM
23,0,0,Arterial,Clear,20.8,0.0,329,57.6,52.0,1.1,25,LOW
14,6,1,Urban,Clear,28.0,0.0,568,36.0,20.2,7.5,65,MEDIUM
21,3,0,Arterial,Fog,22.5,0.36,468,59.2,39.7,8.5,50,MEDIUM
23,5,1,Arterial,Storm,25.4,29.87,313,54.8,34.3,8.2,48,MEDIUM
8,5,1,Urban,Clear,33.6,0.0,180,41.1,39.0,1.1,19,LOW
19,1,0,Arterial,Rain,19.4,1.3,1466,57.5,9.4,21.6,93,HIGH
16,6,1,Urban,Clear,26.7,0.0,639,42.9,24.7,5.6,67,MEDIUM
16,0,0,Arterial,Rain,35.4,5.98,828,63.1,35.9,6.1,64,MEDIUM
19,4,0,Arterial,Clear,24.4,0.0,832,58.4,36.3,5.1,52,MEDIUM
11,5,1,Highway,Clear,38.3,0.0,373,94.9,92.6,0.2,20,LOW
6,5,1,Arterial,Fog,17.1,0.33,338,60.6,40.8,5.9,53,MEDIUM
1,1,0,Highway,Rain,40.7,1.15,738,81.1,62.8,0.1,36,LOW
2,3,0,Arterial,Clear,28.1,0.0,315,56.0,55.1,0.8,35,LOW
16,1,0,Highway,Rain,18.7,5.59,957,86.4,57.8,4.1,60,MEDIUM
4,0,0,Highway,Clear,33.8,0.0,654,90.1,78.9,0.7,20,LOW
16,6,1,Highway,Rain,31.0,1.95,1868,87.9,11.5,21.7,75,HIGH
23,2,0,Highway,Clear,37.7,0.0,289,87.4,83.5,0.9,34,LOW
16,2,0,Highway,Clear,17.2,0.0,1059,92.9,67.9,8.2,46,MEDIUM
16,6,1,Urban,Clear,20.3,0.0,641,42.4,20.1,19.0,96,HIGH
1,3,0,Urban,Clear,33.4,0.0,115,38.1,38.1,0.0,12,LOW
1,5,1,Arterial,Clear,45.8,0.0,313,56.6,52.6,1.0,31,LOW
21,3,0,Urban,Clear,32.0,0.0,243,43.8,42.5,2.1,37,LOW
22,5,1,Highway,Clear,33.1,0.0,637,103.6,92.2,1.5,22,LOW
4,5,1,Urban,Rain,22.7,0.45,238,37.2,29.4,1.1,37,LOW
0,2,0,Highway,Clear,26.7,0.0,467,94.5,90.3,0.7,25,LOW
0,3,0,Highway,Clear,23.7,0.0,311,89.3,84.9,2.2,20,LOW
18,1,0,Arterial,Clear,31.5,0.0,1638,62.7,8.9,19.2,76,HIGH
1,5,1,Highway,Clear,34.5,0.0,662,85.2,75.6,1.6,24,LOW
20,4,0,Arterial,Clear,29.3,0.0,1523,55.0,8.3,30.0,92,HIGH
11,4,0,Arterial,Clear,33.6,0.0,812,55.5,32.6,9.5,53,MEDIUM
5,1,0,Urban,Clear,27.8,0.0,135,38.3,38.1,1.8,27,LOW
22,4,0,Arterial,Clear,37.3,0.0,319,59.1,54.9,1.2,36,LOW
3,0,0,Highway,Clear,22.0,0.0,524,94.7,86.3,0.0,37,LOW
22,5,1,Arterial,Clear,37.9,0.0,443,56.7,49.3,0.8,10,LOW
10,1,0,Highway,Rain,23.0,17.58,2005,86.8,12.0,28.0,92,HIGH
23,3,0,Arterial,Clear,28.1,0.0,315,68.3,63.9,1.1,19,LOW
16,5,1,Highway,Storm,19.6,7.55,1013,90.3,44.7,23.6,94,HIGH
5,1,0,Arterial,Clear,31.5,0.0,378,61.1,55.8,0.0,27,LOW
23,2,0,Arterial,Fog,28.9,0.27,340,63.0,44.2,7.8,63,MEDIUM
4,3,0,Arterial,Clear,33.2,0.0,224,57.9,54.9,1.4,9,LOW
19,2,0,Urban,Clear,15.9,0.0,1039,39.9,8.0,15.1,71,HIGH
1,5,1,Urban,Fog,28.9,0.4,367,39.0,23.6,5.2,56,MEDIUM
5,3,0,Arterial,Clear,30.8,0.0,180,59.7,57.0,1.4,36,LOW
21,4,0,Arterial,Clear,21.1,0.0,289,63.4,61.9,1.5,23,LOW
10,1,0,Highway,Clear,31.7,0.0,2314,93.4,13.6,30.4,74,HIGH
15,5,1,Arterial,Fog,11.9,0.48,878,50.9,26.1,4.8,51,MEDIUM
15,0,0,Highway,Clear,27.1,0.0,1341,95.0,50.6,5.0,47,MEDIUM
0,3,0,Highway,Clear,37.9,0.0,461,88.3,83.1,2.4,37,LOW
8,3,0,Urban,Rain,27.0,7.22,779,41.2,11.5,15.4,74,HIGH
5,6,1,Arterial,Clear,23.0,0.0,424,58.4,53.0,1.3,27,LOW
15,5,1,Arterial,Rain,27.5,2.61,845,59.8,30.4,5.3,46,MEDIUM
2,5,1,Highway,Clear,28.7,0.0,318,96.6,92.4,0.1,20,LOW
19,2,0,Arterial,Rain,34.3,2.76,908,61.3,30.0,30.6,97,HIGH
3,6,1,Highway,Clear,28.9,0.0,947,96.3,74.8,0.4,13,LOW
18,4,0,Highway,Clear,33.3,0.0,1913,89.7,14.6,34.7,78,HIGH
2,2,0,Highway,Clear,28.6,0.0,355,89.2,84.8,1.6,30,LOW
18,6,1,Arterial,Clear,22.8,0.0,756,60.0,43.4,6.4,58,MEDIUM
19,2,0,Arterial,Clear,18.2,0.0,1145,54.9,18.3,12.4,79,HIGH
6,4,0,Highway,Clear,30.6,0.0,598,76.5,69.8,0.0,18,LOW
19,6,1,Arterial,Clear,10.7,0.0,946,56.9,30.9,7.6,65,MEDIUM
8,6,1,Highway,Clear,15.6,0.0,657,95.1,85.4,1.9,34,LOW
0,0,0,Arterial,Clear,18.2,0.0,372,65.7,60.5,1.9,31,LOW
7,2,0,Urban,Clear,33.0,0.0,291,34.0,31.1,0.7,31,LOW
6,2,0,Arterial,Clear,17.6,0.0,341,65.1,59.6,1.0,22,LOW
17,3,0,Urban,Clear,31.3,0.0,925,38.2,8.0,33.1,83,HIGH
7,4,0,Urban,Clear,20.8,0.0,255,35.7,31.3,1.2,9,LOW
0,1,0,Arterial,Clear,27.0,0.0,298,64.2,58.4,2.1,21,LOW
10,0,0,Arterial,Fog,27.6,0.14,1322,58.0,9.2,13.9,82,HIGH
17,6,1,Urban,Clear,26.9,0.0,637,47.8,24.8,5.3,47,MEDIUM
22,6,1,Arterial,Clear,23.5,0.0,413,57.3,52.0,0.2,26,LOW
9,6,1,Highway,Clear,17.0,0.0,557,88.6,79.0,1.6,31,LOW
2,0,0,Urban,Rain,28.2,2.17,209,37.1,33.8,1.3,37,LOW
6,6,1,Arterial,Clear,31.9,0.0,470,60.6,53.8,1.8,9,LOW
15,6,1,Highway,Rain,32.8,10.27,1640,94.0,30.6,28.8,96,HIGH
15,4,0,Arterial,Clear,28.6,0.0,589,53.1,43.4,1.1,19,LOW
19,5,1,Urban,Rain,29.8,4.54,456,42.0,23.4,7.2,47,MEDIUM
16,5,1,Arterial,Clear,22.6,0.0,870,58.4,35.2,6.2,48,MEDIUM
1,3,0,Arterial,Clear,31.1,0.0,361,56.6,55.2,1.6,35,LOW
0,3,0,Urban,Clear,30.9,0.0,124,35.8,35.5,1.5,13,LOW
15,6,1,Arterial,Storm,25.9,2.12,725,63.9,29.2,30.2,91,HIGH
11,4,0,Arterial,Rain,28.3,0.43,720,61.1,37.6,9.8,49,MEDIUM
4,6,1,Arterial,Clear,27.8,0.0,357,57.7,52.4,1.0,20,LOW
4,3,0,Arterial,Clear,31.2,0.0,310,63.1,58.0,0.8,33,LOW
22,0,0,Arterial,Clear,17.2,0.0,225,62.1,58.9,1.2,11,LOW
8,0,0,Arterial,Clear,17.1,0.0,1181,63.5,16.8,25.4,70,HIGH
8,1,0,Arterial,Clear,17.4,0.0,956,66.6,30.5,17.3,84,HIGH
2,5,1,Urban,Clear,24.9,0.0,140,40.7,38.8,1.7,10,LOW
18,4,0,Highway,Fog,31.2,0.46,2058,99.7,10.2,23.0,70,HIGH
15,2,0,Highway,Clear,12.3,0.0,988,97.1,73.4,0.4,24,LOW
15,5,1,Arterial,Clear,28.7,0.0,922,63.1,29.8,17.2,77,HIGH
2,2,0,Urban,Clear,36.4,0.0,115,34.9,32.5,0.6,28,LOW
19,1,0,Highway,Fog,29.9,0.42,1938,90.5,11.4,28.0,88,HIGH
23,1,0,Highway,Rain,13.9,2.33,671,91.2,67.4,6.3,57,MEDIUM
21,6,1,Highway,Clear,31.6,0.0,646,91.1,78.9,1.5,26,LOW
23,3,0,Arterial,Storm,29.7,11.6,414,59.6,33.5,8.6,51,MEDIUM
0,1,0,Highway,Rain,25.6,1.2,913,93.2,63.5,7.9,56,MEDIUM
23,1,0,Arterial,Clear,29.3,0.0,427,63.1,56.0,0.0,21,LOW
19,2,0,Arterial,Clear,18.2,0.0,1666,53.3,8.1,27.0,79,HIGH
10,3,0,Urban,Storm,28.4,17.74,1048,44.1,8.0,19.1,71,HIGH
16,1,0,Arterial,Clear,31.4,0.0,777,54.1,36.6,8.8,54,MEDIUM
7,5,1,Highway,Clear,23.1,0.0,262,88.0,86.8,1.8,21,LOW
3,1,0,Arterial,Clear,24.7,0.0,460,56.4,48.6,0.9,27,LOW
5,3,0,Urban,Clear,24.0,0.0,205,37.8,35.6,0.4,31,LOW
7,6,1,Arterial,Storm,24.7,11.25,225,64.3,38.5,10.0,51,MEDIUM
19,4,0,Urban,Clear,22.2,0.0,835,40.4,8.0,31.3,97,HIGH
2,3,0,Urban,Clear,22.6,0.0,210,42.0,38.9,2.6,18,LOW
15,2,0,Highway,Rain,31.6,4.15,1393,93.2,45.8,16.1,93,HIGH
2,4,0,Arterial,Clear,15.8,0.0,257,52.3,48.7,1.0,21,LOW
17,5,1,Highway,Clear,29.3,0.0,1358,87.2,50.3,7.2,49,MEDIUM
13,0,0,Arterial,Fog,31.6,0.19,579,63.0,41.8,4.6,56,MEDIUM
17,3,0,Highway,Clear,18.5,0.0,2202,93.3,16.1,26.8,70,HIGH
1,6,1,Highway,Clear,27.5,0.0,323,81.2,77.6,0.7,25,LOW
21,2,0,Urban,Clear,21.6,0.0,279,43.1,37.6,2.5,24,LOW
2,5,1,Highway,Clear,36.0,0.0,314,93.1,91.6,0.5,23,LOW
15,4,0,Urban,Fog,26.6,0.22,633,37.1,13.5,21.7,79,HIGH
8,5,1,Highway,Clear,38.3,0.0,821,92.0,71.3,1.1,24,LOW
3,3,0,Highway,Clear,37.3,0.0,644,88.9,77.6,1.2,36,LOW
0,1,0,Urban,Clear,30.2,0.0,340,41.5,33.4,0.7,30,LOW
3,6,1,Arterial,Clear,43.0,0.0,453,52.8,47.2,1.4,25,LOW
0,3,0,Arterial,Rain,17.0,0.81,370,58.6,47.4,0.3,20,LOW
13,0,0,Highway,Rain,38.1,10.35,1228,95.9,50.9,5.6,64,MEDIUM
20,3,0,Arterial,Fog,26.1,0.47,1421,62.2,8.0,30.3,92,HIGH
15,4,0,Arterial,Clear,27.1,0.0,856,63.2,36.6,5.1,57,MEDIUM
19,4,0,Arterial,Rain,24.8,5.96,1283,59.1,9.0,31.5,84,HIGH
23,3,0,Arterial,Clear,17.8,0.0,356,62.3,60.8,1.5,32,LOW
7,4,0,Urban,Rain,32.0,9.6,232,39.5,33.0,1.6,16,LOW
6,1,0,Arterial,Rain,19.3,3.83,190,56.3,47.2,2.0,10,LOW
2,5,1,Urban,Clear,23.9,0.0,242,39.2,32.5,1.6,22,LOW
16,3,0,Arterial,Clear,24.2,0.0,731,65.8,48.0,6.3,42,MEDIUM
0,6,1,Arterial,Clear,35.0,0.0,321,64.5,58.1,1.0,11,LOW
